vin_txt	year_int	make_txt	model_txt	color_txt	cost_num
2C3CCAHG7CH783785	2004	Porsche	911	Mauv	28987.83
KNDMG4C30A6587082	1986	Lincoln	Continental Mark VII	Red	35507.76
JN1AJ0HP4BM527685	1996	Subaru	SVX	Crimson	25202.41
JH4CU2E66AC600725	2002	Chevrolet	Suburban 2500	Purple	26964.54
1GD422CG4EF492256	2010	Aston Martin	DB9	Teal	36011.78
5UXKR0C50E0848018	1981	Dodge	Aries	Puce	34614.37
3N1CN7AP3EK436797	2008	Lincoln	Town Car	Maroon	37224.43
WAUKH98E78A948517	2009	Kia	Sorento	Purple	27824.21
3C3CFFER4DT063959	1997	Infiniti	QX	Red	36342.78
19UUA8F24BA647540	2005	Chevrolet	Express 2500	Violet	31383.18
1FTEX1C8XAF655206	2008	Lexus	IS F	Indigo	35449.82
JM1NC2EF7A0393468	2006	Suzuki	Verona	Green	31655.64
KNDKG3A23A7589334	2000	Ford	F150	Violet	25084.54
1G4HP54K04U046140	1998	Mitsubishi	Challenger	Turquoise	31188.54
WA1VFBFL5DA327778	1998	Volkswagen	Passat	Goldenrod	30750.29
1VWAH7A33CC059302	2000	Ford	Escape	Indigo	26403.18
WBSWL93508P444357	2005	Honda	Civic	Mauv	34912.59
1GD02ZCG4DZ498532	2012	Cadillac	CTS-V	Red	32342.85
4A31K2DF3AE954137	1992	Chevrolet	Sportvan G30	Orange	32022.89
1D7RV1CP4BS658506	2006	Honda	Insight	Orange	32505.96
YV1902FH4D1962795	1986	Suzuki	SJ 410	Purple	25128.32
KMHTC6AD1CU481538	2006	Ford	Explorer Sport Trac	Red	34947.45
WBABN73403P705021	1998	Mercedes-Benz	M-Class	Aquamarine	33498.85
1YVHZ8BH5D5501849	2009	Lincoln	MKZ	Crimson	27310.23
2LMDJ6JK3EB031704	2000	Chevrolet	3500	Turquoise	26335.07
3C6TD5HTXCG286539	2006	Lexus	LX	Mauv	36372.08
5J6TF1H5XFL491857	2005	Volvo	S80	Maroon	25661.59
1G6DM1E39D0758295	1984	Ford	Bronco	Blue	25558.47
1YVHZ8BH9A5238597	2011	GMC	Sierra	Teal	26029.53
KNAFX5A82F5339701	2012	Scion	xB	Mauv	27067.93
WDDLJ6FB9FA617315	2001	Toyota	Sequoia	Violet	34110.27
KNADM4A37D6131903	1989	Pontiac	Sunbird	Indigo	33168.79
1VWAP7A38EC553869	2005	Jaguar	XK Series	Mauv	37742.64
1N4AA5APXEC519336	2004	Lexus	LX	Yellow	35786.17
3D73M4EL1BG805652	2010	Chevrolet	Suburban 2500	Violet	28071.42
5NPDH4AE4FH888890	1994	Volkswagen	Jetta	Aquamarine	25130.73
YV126MFC0F1913094	1997	Mazda	MPV	Yellow	37337.20
WA1CKAFP9AA231602	2010	Volvo	V70	Red	32492.98
3D4PG6FV6AT087555	1997	Toyota	Tacoma Xtra	Violet	38892.34
JN8AS5MT7CW130993	2003	Honda	CR-V	Goldenrod	38726.69
WAUAF78E45A441236	2009	Mazda	CX-7	Orange	32115.71
JN1AZ4EH2DM810957	1985	Buick	Riviera	Pink	38857.18
WAUDGBFL4AA248495	2007	Acura	RDX	Mauv	30250.49
3VW1K7AJ3DM001187	2007	Porsche	Boxster	Green	26498.46
KMHCT4AE0DU275139	1987	Pontiac	Gemini	Crimson	31367.85
WA1LMAFE3ED788129	2012	BMW	3 Series	Blue	32011.38
JN1AZ4EH1DM249800	1994	Ford	Crown Victoria	Turquoise	36793.64
WA1WMBFE6CD509224	1985	Ford	Bronco II	Blue	28330.71
YV1672MK6B2922917	1993	Mercury	Grand Marquis	Puce	25708.86
2C3CDXJG7CH986377	1987	Volkswagen	Golf	Pink	30597.44
1D4PU6GX5AW579268	2011	Volvo	XC90	Red	28256.52
2C3CDYCJ7CH082592	1999	Volkswagen	Jetta	Khaki	31738.47
JA32U1FU1DU074313	2012	Acura	TL	Pink	30117.63
1C4RDHDG0FC509160	1999	Land Rover	Discovery	Indigo	33305.10
5GADX23L26D831632	1998	Mitsubishi	Pajero	Crimson	35440.11
WAUVFAFH3CN582381	2008	Infiniti	QX	Violet	30696.14
JA4AS2AW9DU424766	1992	Mitsubishi	Galant	Khaki	25370.48
1G4GG5E33CF511175	1989	Saab	9000	Yellow	28410.34
WDDLJ9BB4FA431737	1991	Mazda	929	Goldenrod	34987.56
WAUBFAFL6BA891503	1996	Mazda	Protege	Indigo	30752.86
1G6KD57Y88U451142	1985	Mitsubishi	Starion	Yellow	38300.28
JN1AZ4EH9DM915429	2012	Lincoln	MKT	Crimson	34694.35
WBAYP1C54DD408993	1992	Chevrolet	Corvette	Indigo	38276.02
3D7JB1EP7BG633626	2010	Nissan	Murano	Green	38029.64
WAUHGAFC8DN733232	2003	Jaguar	XK Series	Mauv	32632.52
5J8TB4H31EL845007	1989	Mazda	B2600	Mauv	26290.51
1C3CCBHGXCN936754	2009	Lexus	IS-F	Puce	27277.06
KMHHT6KDXDU006427	1990	Ford	F-Series	Purple	37796.42
3VW4S7AT1EM314562	1993	Saab	9000	Goldenrod	36647.50
1FTSW2A53AE532518	2006	Audi	S4	Yellow	37118.02
WBAWB33518P702406	2007	Jeep	Liberty	Red	29271.22
WAUVT68E55A703334	2009	Bentley	Arnage	Khaki	35985.20
3VW4A7AT6DM553400	2004	Nissan	Pathfinder Armada	Maroon	31484.19
WAUMGBFL1AA196517	1999	BMW	5 Series	Red	39167.33
2C3CA4CD7AH071195	2012	Chevrolet	Suburban 1500	Pink	31398.70
WAUGN74F97N720026	2012	BMW	X6 M	Aquamarine	36157.73
SCBLC31E72C505912	1993	Mercury	Topaz	Teal	34791.46
JN1CV6EK7BM387835	2002	Mercury	Mountaineer	Fuscia	36384.80
KMHTC6AD2DU693849	1973	Pontiac	GTO	Violet	25013.46
5N1AT2MK5FC948903	2006	Lexus	RX	Maroon	31733.04
WBA3B3C58DJ625274	1992	Dodge	Ramcharger	Yellow	26277.75
JTHKD5BH8B2554258	2002	Mercury	Mountaineer	Khaki	31177.04
WBALX5C55CC722951	2008	Maserati	Quattroporte	Violet	34022.80
JH4CL95817C809750	1999	Dodge	Charger	Pink	27659.33
1G6DP1ED0B0997635	2003	Audi	A8	Indigo	33375.50
WUAUUAFGXBN007157	2002	Saturn	S-Series	Fuscia	33812.05
3VW1K7AJ7EM518042	2004	Pontiac	Sunfire	Teal	26063.09
1G4GF5G34EF170615	1995	Volvo	940	Fuscia	29954.24
5N1BA0ND8FN341378	1996	Mercury	Grand Marquis	Khaki	33214.18
KM8JT3AB7CU914221	1993	Mercedes-Benz	600SL	Fuscia	30504.73
5TFCM5F17AX517920	2002	GMC	Yukon	Green	33957.31
WVGAV7AX5FW925840	2006	BMW	M5	Red	31477.28
WAUWFBFL4AA934998	2011	Chevrolet	Express	Mauv	35023.38
WA1AY94L17D052045	1995	Alfa Romeo	164	Indigo	35588.17
SCFFDCCD8BG570631	2007	Subaru	Tribeca	Teal	28326.19
JM1NC2PF0E0750265	2007	Toyota	Tundra	Fuscia	36114.28
3C3CFFAR2FT358664	1999	Infiniti	QX	Yellow	29468.39
WBAVA335X8K721189	1991	Volkswagen	Cabriolet	Fuscia	39337.10
WAUJC68E34A078106	2003	Lamborghini	Murciélago	Yellow	36438.62
WAUKGBFB6AN990923	2012	Volkswagen	Eos	Khaki	29519.83
1D7CW3GK8AS188170	2007	Honda	Odyssey	Green	34641.44
1FMEU3DE8AU769852	2012	Ford	Focus	Pink	29227.59
WAUHGBFC5EN665852	2008	Isuzu	i-370	Orange	32060.07
19UUA8F59CA704505	2012	Jaguar	XK	Violet	38767.90
3VWJP7AT2CM306780	1976	Chevrolet	Camaro	Aquamarine	30731.91
WAUDH78E48A314238	2007	BMW	M Roadster	Green	32338.31
KNAFU6A25D5715329	2005	Chrysler	Crossfire	Turquoise	25860.82
1N6AD0CU3CC520927	2011	Toyota	4Runner	Yellow	38668.66
5UXZV4C52BL251206	1997	Volvo	850	Orange	31195.54
3N1CN7AP9FL501275	2008	BMW	Z4	Violet	31020.64
1C3CCBBB4CN949528	2008	Mazda	Mazda3	Mauv	33456.69
WBABS53482J364479	1994	Lincoln	Mark VIII	Mauv	34977.26
WBA3T3C53F5735190	2001	Ford	Explorer Sport	Yellow	31149.23
19VDE1F31EE629087	1992	Nissan	Maxima	Crimson	39785.33
SCBZK25E31C939244	1992	BMW	5 Series	Puce	35125.06
3GYFK66N84G810644	1999	Chevrolet	Lumina	Mauv	36613.49
1N4AL2AP6CC509067	2012	Jeep	Compass	Fuscia	34698.14
WUATNAFG1BN980260	1997	Chevrolet	Monte Carlo	Purple	25622.55
1NXBU4EE1AZ828217	2000	Chevrolet	Express 2500	Crimson	32134.72
WDDJK7DA9EF742966	1995	GMC	2500 Club Coupe	Mauv	34445.93
1C4SDJCT2EC308754	2012	Porsche	Boxster	Crimson	38179.23
SAJWJ0EF0E8516938	2012	Chrysler	200	Orange	33589.57
WAUUL78EX5A307269	2002	Honda	Accord	Pink	28974.91
WP0AB2A93AS550595	2010	Kia	Sportage	Orange	37051.75
1FTEW1C83AK219811	2000	Toyota	Celica	Mauv	31394.55
2C3CDXCT1EH045178	1992	Mercedes-Benz	300SL	Violet	26797.98
1FTEX1CM7BF487958	2006	Mercury	Monterey	Orange	29857.83
5GAKVBKDXFJ952952	1988	Acura	Legend	Aquamarine	37199.12
3C4PDCGB2FT508624	2012	Jaguar	XK	Purple	29958.91
SAJWA2GT9EM273894	1984	Mercedes-Benz	S-Class	Turquoise	31222.60
3VWML7AJ8BM076863	1999	Oldsmobile	88	Yellow	25820.04
JTDKN3DP2C3094419	2001	Acura	RL	Pink	35811.93
WA1EY94L08D073486	1993	Dodge	Stealth	Goldenrod	27995.20
WAUDK78T18A146137	2011	GMC	Sierra 2500	Pink	27383.05
3D73Y3CL8AG421934	2013	Ford	Escape	Orange	38502.59
JTDKDTB36D1763498	1993	Plymouth	Sundance	Aquamarine	35146.53
2LMDJ6JK3CB051514	1995	Mazda	MX-3	Purple	25098.04
WAUSF98E06A564422	2004	Kia	Sorento	Indigo	26176.00
ZFBCFABH5FZ446687	1987	Pontiac	Gemini	Aquamarine	38605.79
1B3AZ6JZ5AV728929	2004	Lincoln	Aviator	Orange	38927.67
WDDHH8HB3BA612535	2002	Pontiac	Bonneville	Violet	38602.22
WBAVB73508F618229	2013	Kia	Rio	Violet	33028.70
WAUNF98P26A748839	2007	Lincoln	Mark LT	Maroon	28224.71
YV426MDB0F2123740	2006	Toyota	Highlander	Goldenrod	29267.80
SCBZK25E82C053180	2010	Kia	Sedona	Violet	37069.53
TRURD38J681291190	1985	Buick	Regal	Pink	35982.02
WA1CGAFP3FA077879	2001	Ford	Escape	Purple	29212.37
1G4GD5EG4AF509721	2005	Honda	Odyssey	Yellow	34308.15
1G6DP8E30D0505818	2010	GMC	Yukon	Orange	30495.29
4T1BD1EB1DU933090	2001	Pontiac	Firebird	Goldenrod	32306.68
JHMGE8G34CS693631	2011	Lexus	LX	Green	37931.96
4A31K2DF1AE133067	2001	Ford	Explorer	Orange	31397.78
1D4RD4GG8BC967515	2006	Maserati	Coupe	Purple	39838.37
1GYS3KEF1ER277388	2001	Dodge	Caravan	Orange	30225.18
4T3BK3BB9FU449622	1998	Mitsubishi	Diamante	Violet	26884.04
WBAVD53567A570035	1984	Pontiac	1000	Khaki	36733.39
WAUVVAFR4BA730569	1986	Mitsubishi	Pajero	Violet	27247.63
3D4PH6FV0AT247975	1997	Chevrolet	G-Series 1500	Orange	37890.98
WUAAU34238N538263	1999	Ford	Crown Victoria	Yellow	35594.39
2HNYD28868H769777	2005	Suzuki	Daewoo Lacetti	Mauv	31499.59
1G6AB5SA5D0235066	2012	Chevrolet	Express 3500	Blue	26511.13
JTHBS1BL2D5498936	1986	Mercedes-Benz	SL-Class	Puce	38432.37
2FMGK5B81DB242835	2001	Volvo	V70	Teal	38153.58
1G6DP5E34C0566358	1993	Ford	Tempo	Indigo	33304.05
5N1AN0NU8FN580381	1984	Mitsubishi	Pajero	Blue	33808.93
WAUEF98E17A499322	1994	Jaguar	XJ Series	Aquamarine	37722.93
WBACN33461L650690	1996	Subaru	Legacy	Turquoise	38593.26
1GYFC26259R523460	1989	Mazda	B2600	Orange	28661.05
1C3BC7EG1BN098383	2007	Ford	Five Hundred	Purple	34154.40
1N6AF0LY3FN946185	1999	Ford	Expedition	Violet	29781.16
WVWED7AJ8DW872763	2004	Mitsubishi	Eclipse	Aquamarine	33095.05
19XFB4F29DE735688	2006	Lincoln	Town Car	Violet	29821.49
WUADNAFG4AN589154	2001	Pontiac	Bonneville	Pink	34272.62
SCBLF34F66C214450	2003	Audi	Allroad	Aquamarine	31951.48
WBAVL1C52FV684200	2009	Cadillac	SRX	Green	36781.17
JN8AZ1MUXCW948327	2004	Ford	F250	Maroon	32526.17
SCFEBBAC4AG295179	2003	Mercedes-Benz	E-Class	Pink	32961.76
2G4GL5EX8F9646602	1996	Oldsmobile	Aurora	Indigo	25030.38
WP1AA2A29EL042830	1996	Volkswagen	rio	Goldenrod	35493.17
3G5DB03L46S817501	1994	Eagle	Summit	Pink	25107.54
WA1MMAFE4AD543872	2012	Chevrolet	Impala	Fuscia	30866.48
4T1BF1FK7EU312382	2001	Ford	Crown Victoria	Pink	26991.41
JN1AJ0HP1AM903743	2010	Chrysler	Sebring	Red	33606.80
2C3CCAKGXFH179046	1988	Mazda	B-Series	Khaki	34093.86
3GYFNJE33DS129315	2003	Chevrolet	Silverado 1500	Fuscia	36862.17
3N1AB6AP0BL724843	1992	Chevrolet	2500	Orange	25874.63
1G6AK5S32F0640774	2007	Hyundai	Veracruz	Maroon	33783.70
WA1CMAFE6CD632891	2012	Kia	Forte	Aquamarine	32357.19
WBA6B8C51ED734301	2005	Chevrolet	Suburban 1500	Indigo	25566.64
2G4GX5GV5B9814691	2007	Toyota	FJ Cruiser	Orange	30642.88
WA1DKAFP5CA889764	2004	GMC	Envoy XL	Purple	36630.55
3GYEK62867G626111	2001	Jaguar	S-Type	Blue	25845.91
WDDHF2EB8CA062726	2007	Kia	Sorento	Yellow	39839.30
5NPDH4AE2BH879048	2001	Audi	Allroad	Teal	28353.65
4T1BD1FKXFU271219	2008	Ford	Explorer Sport Trac	Green	38840.15
KMHGN4JE8FU387797	1994	Saturn	S-Series	Indigo	29636.14
1N6AA0EJ0FN453854	2004	Jeep	Liberty	Indigo	26884.57
3D4PH6FG1BT232601	2006	Ford	Crown Victoria	Crimson	30792.17
1C3CDFEB0FD243361	1993	Volkswagen	Corrado	Mauv	26612.41
KNALN4D75E5437934	2001	GMC	Safari	Teal	27076.69
JTDKN3DU0A0555086	1996	Chrysler	Town & Country	Yellow	35839.49
WA1WMAFE3BD412698	1999	Suzuki	Swift	Aquamarine	36702.95
1N6AA0EK9FN899333	1998	Oldsmobile	Regency	Crimson	39089.70
1FMJK1G53AE087749	1998	Chevrolet	Monte Carlo	Turquoise	31684.46
TRUDD38J681977403	1993	Dodge	Ram Van B150	Mauv	25254.35
WAUFMBFCXEN468871	2001	Toyota	Solara	Red	29436.21
WAUMF98P46A075886	2006	Cadillac	STS-V	Khaki	25794.42
1G6EL12Y41B769020	1992	Honda	Civic	Turquoise	37552.81
2G4GY5GV2B9122577	2008	Suzuki	Grand Vitara	Pink	26211.24
WAU4FAFR1DA461796	2011	Mitsubishi	Outlander	Yellow	38828.02
JM1NC2LF7F0084948	1993	Dodge	Intrepid	Yellow	34343.67
2FMDK3AC2AB075300	2002	Suzuki	Aerio	Fuscia	34534.21
WAUHF98P76A507162	1993	Dodge	Viper	Yellow	39232.93
WA1WYBFE1AD445806	1985	Ford	Bronco II	Aquamarine	39029.08
1G6DH8E36E0756230	2008	Mitsubishi	Galant	Pink	36767.41
3D73Y4HL0AG677810	2000	Mercedes-Benz	C-Class	Violet	39320.29
1C3BC8EG4BN900480	2005	Mercury	Mountaineer	Indigo	34223.98
JTDZN3EU9E3503294	2003	GMC	Sonoma	Purple	37983.96
JN8AZ2KR8CT921133	2012	Ford	E250	Puce	37170.55
JN1BY1AP5EM395265	2000	GMC	Safari	Turquoise	27976.33
SCBLE47K48C846089	1995	Plymouth	Acclaim	Purple	29556.07
1G6DC8E31E0826490	2012	Bentley	Continental Super	Green	38223.64
WA1CGBFE1ED666592	2005	Hummer	H2	Blue	39288.60
5N1AA0NC7DN405975	2007	Suzuki	XL7	Aquamarine	27970.64
JTDKN3DU5F0065587	1990	Mazda	Familia	Crimson	39016.83
2G4GY5GV1B9549068	1992	Chrysler	Imperial	Goldenrod	34038.48
1GYFK435X9R351469	2001	Volvo	C70	Orange	38645.24
WP0AB2A92FS478652	1994	Cadillac	Fleetwood	Red	30503.23
1GTC5LF97B8971653	2004	Toyota	MR2	Khaki	32429.80
WA1LMAFE5FD729052	2000	Nissan	Sentra	Yellow	36917.35
1G6AY5S34F0679140	1993	Nissan	Sentra	Purple	32586.79
WAUDK78T68A952930	2002	Lincoln	Navigator	Purple	34807.20
WBAVA33587P698691	1997	Honda	Prelude	Green	35142.86
WA1C8BFP4DA202050	1965	Ford	Mustang	Mauv	38894.31
WA1C8BFP5FA123263	2001	Ford	Excursion	Goldenrod	28707.29
5NPDH4AE8FH813075	2004	Cadillac	DeVille	Aquamarine	29693.52
3GYFNJE38DS876649	1994	Chevrolet	Caprice	Aquamarine	29748.86
5N1AT2ML9FC121821	2005	Toyota	4Runner	Khaki	33609.36
SCFAD01A05G426089	1992	Toyota	Camry	Maroon	30434.36
JHMZE2H54AS500266	2011	Ford	E-Series	Blue	31233.69
WAULD64B54N986048	1989	Lexus	ES	Indigo	37687.50
WDCGG0EB5EG050938	2009	Smart	Fortwo	Crimson	28483.65
SCBET9ZA6F8315444	2007	Ford	F-Series	Goldenrod	30077.51
JA32X8HW5CU969753	2004	Ford	Windstar	Aquamarine	39978.92
1D4PU5GK3AW153691	2011	Hyundai	Elantra	Mauv	30884.87
5UXZV4C50CL540313	2002	Acura	CL	Teal	33275.78
3D73M3CL8BG811364	2013	Lexus	RX	Teal	37565.53
JH4CU2F64AC428113	1994	Ford	Econoline E150	Violet	39869.79
1G6DJ577X90160580	2010	Ford	Edge	Green	27600.86
WAUHMAFC6EN290282	2001	Mitsubishi	Montero Sport	Indigo	34869.89
2B3CA3CV0AH461426	1992	Nissan	Pathfinder	Green	33770.89
WBA3D3C53EF989732	2009	Mazda	Mazda3	Purple	29155.19
WAUHF78P77A730713	2006	Pontiac	Solstice	Goldenrod	37985.88
1FTWX3D52AE415769	1987	Mercury	Grand Marquis	Mauv	36726.68
WAUHFAFL8DN041278	1987	Mercedes-Benz	W201	Mauv	39326.69
JN8AF5MR3CT593546	2001	Oldsmobile	Intrigue	Goldenrod	26199.04
1G6DX67D980411968	1995	Toyota	Camry	Khaki	33116.84
WBAKE5C59DJ098280	1987	Suzuki	Swift	Violet	27462.11
WAUUFAFH2DN435398	2005	Chevrolet	Express 2500	Maroon	39688.58
WAUEV74F87N238803	2003	Mitsubishi	Lancer	Crimson	26931.56
YV4852CT2B1604889	1993	Volvo	850	Indigo	34427.94
1N6AA0CA3BN349503	2012	Honda	Accord	Goldenrod	36723.66
2V4RW3D11AR215684	2011	Audi	Q7	Pink	29972.02
WA1CV74L77D442573	2012	Scion	tC	Purple	38475.50
WAUJF98K69N567047	1997	Acura	Integra	Indigo	35413.81
WAUDK78T08A580646	1992	Dodge	Ram Van B250	Purple	25822.18
1G6DN57S640936012	2000	Volkswagen	Golf	Goldenrod	30758.19
1G6AP5SX2F0185672	1999	Jeep	Wrangler	Orange	26895.04
KNAFT4A20D5452593	2008	Maybach	57	Green	30850.94
KNDJT2A23D7544285	1997	Ford	Econoline E350	Pink	26151.26
SALVP2BG0EH153566	1993	Acura	Vigor	Red	33079.95
WAULV94EX9N656888	2001	Honda	Passport	Pink	28228.21
KM8NU4CC7CU202754	2012	Volkswagen	Passat	Yellow	28112.21
WP1AA2A22BL581978	2002	GMC	Safari	Yellow	32225.07
3N1BC1CP3CK036490	2004	Mercury	Sable	Violet	35053.61
1GKS2FEJ5DR850137	1992	Audi	100	Pink	26620.30
WAUET48H46K308863	2006	Panoz	Esperante	Aquamarine	34503.58
1D7RE5GK8BS425086	2003	Lamborghini	Gallardo	Turquoise	29555.91
WVGFG9BPXBD570275	1999	Dodge	Dakota	Orange	32067.69
2B3CK5CT9AH496022	2006	Chrysler	PT Cruiser	Red	25871.12
KM8NU4CCXAU621159	2005	GMC	Safari	Fuscia	25790.03
1FTNF1E82AK420824	2002	Lexus	GS	Green	28225.20
3N1CE2CP8FL423703	2006	Acura	MDX	Red	35019.77
WVGAV3AX5DW720623	1998	Toyota	T100 Xtra	Aquamarine	30907.31
WBSBR93464P189003	1999	Chevrolet	Prizm	Crimson	31437.46
WVWAB7AJ8CW000540	2006	Mazda	B-Series	Blue	26056.75
JN1CV6AP2FM248574	1972	Chevrolet	Camaro	Aquamarine	36665.20
1G6AM5S3XE0407976	2006	Mitsubishi	Montero	Turquoise	27072.79
5N1AN0NU1FN754162	1994	Infiniti	G	Mauv	34068.89
2G4GS5ER9D9219513	2006	Honda	CR-V	Crimson	35657.67
WA1MYAFE0AD109341	1992	Geo	Storm	Yellow	32393.89
5UXFB53564L936281	1997	Plymouth	Prowler	Pink	35114.83
1C3CDFAA7ED005938	2005	Volvo	S40	Puce	31949.64
WP1AA2A24EL599239	1989	Subaru	XT	Mauv	25402.77
1GD01ZCG7BF242516	2009	Bentley	Continental	Puce	25987.78
WAUNF78PX6A253051	1995	Chevrolet	Blazer	Violet	35230.54
WP0AA2A94AS806794	2009	Volvo	XC90	Orange	30620.68
WAUVT68E42A145407	2008	Ford	Mustang	Indigo	38833.94
WBANV13548B760787	1984	Porsche	944	Puce	31456.55
SALAK2V6XFA414437	2010	GMC	Sierra 3500	Red	38886.70
WBANN73597B393788	2011	Nissan	JUKE	Yellow	39975.52
1G6DB1ED1B0577767	1998	Volkswagen	GTI	Khaki	34343.52
4USBT53463L435386	1998	Lexus	LX	Teal	35924.63
1GTC5LF9XC8186416	2013	Ford	Escape	Pink	34010.49
JN8AE2KP0C9414539	2012	Lexus	IS	Turquoise	25708.96
JH4DC53815S793472	1994	Ford	F-Series	Maroon	31619.23
SALCT2BG0FH466671	1992	Pontiac	Firebird	Teal	39615.51
1D7RB1GK7BS286618	2009	Hyundai	Elantra	Goldenrod	39705.44
1G6YX36D495390730	1992	Dodge	Ram Van B150	Aquamarine	28217.43
WAUDT48H25K386309	1992	Honda	Civic	Maroon	30462.28
1G6KD57Y59U164083	2000	Honda	Insight	Pink	32072.15
WAUAT48H64K815808	2004	Suzuki	Forenza	Green	32661.84
WBA3A9C51FF137778	1995	Volkswagen	Golf	Green	39897.89
1G6KE57Y51U412799	1991	Ford	Thunderbird	Yellow	34854.20
1G6DW67V980202161	2006	Mazda	MPV	Mauv	29980.15
3VWKX8AJ3BM208574	2010	Scion	tC	Red	35427.28
3N1AB7AP5FL354484	1985	Ford	Escort	Green	27959.40
WAUDFAFL1AN699387	2000	Chevrolet	Camaro	Orange	31794.20
WBA3B5C57FF429232	2012	Lexus	CT	Fuscia	32734.61
WVGAV7AXXAW958700	2002	Audi	A6	Indigo	31785.41
1FTSW2B55AE162980	1988	Ford	Courier	Goldenrod	37796.19
3N1BC1AP3BL214989	2000	BMW	Z3	Crimson	37310.09
JTDZN3EU7EJ154146	2009	Ford	GT500	Red	34539.20
1G6AU5S87E0475549	1995	Toyota	Previa	Pink	39342.38
1FTEW1CF7FK388414	2001	Jeep	Cherokee	Indigo	26770.68
2T2BK1BA0AC927713	2004	Porsche	Boxster	Turquoise	37778.83
JN8AS5MT7BW083026	2006	GMC	Sierra Hybrid	Turquoise	28214.90
3TMJU4GN0CM384848	2005	Mitsubishi	Galant	Khaki	35119.09
WDDHF2EB0DA616326	2011	GMC	Savana 1500	Goldenrod	29917.00
WAUJFAFH8EN577713	1993	Lincoln	Town Car	Purple	26174.98
3VW507ATXFM296123	2011	Acura	TL	Blue	30874.14
SALAB2V64EA647633	1988	Ford	Escort	Green	26750.91
2G4WB55K611475696	1994	Buick	Century	Yellow	32601.39
1N6AD0CUXFN110117	1976	Dodge	Aspen	Blue	31276.37
3C63DPNL6CG306348	2001	Honda	Odyssey	Maroon	38719.09
WBAVS13557F449921	2007	Bentley	Continental GT	Orange	31287.67
1GYS4AEF0BR316135	2002	Acura	MDX	Violet	29916.97
JTHBB1BA3B2105491	2011	Chevrolet	Corvette	Crimson	35392.82
3GTXKYEJ7AG643158	1996	Chevrolet	Cavalier	Purple	25016.41
1N4AB7AP1EN646697	1992	Chevrolet	Corvette	Crimson	28309.94
WAUKF98E28A002220	2002	Oldsmobile	Alero	Blue	36852.76
WBANN73557C714316	2001	Volvo	C70	Pink	32037.61
WAUEF78E56A046601	1996	Oldsmobile	Silhouette	Mauv	35711.24
JN1AZ4EH8EM322260	2013	Porsche	911	Indigo	27752.74
WBS3U9C59FP150713	1993	Mitsubishi	3000GT	Red	29761.18
ZHWGU5BZ4CL536648	2004	Mercury	Mountaineer	Yellow	28924.18
1GD311CG7FZ722638	1994	Ford	Bronco	Indigo	25552.40
WAUVC68E35A989524	1995	Infiniti	J	Teal	28258.63
5N1AT2ML5FC826115	2005	Land Rover	LR3	Indigo	30879.35
WAUSH78EX7A212268	1991	Lincoln	Town Car	Orange	26185.02
KL4CJBSB1DB717693	1995	Acura	Integra	Goldenrod	27732.31
19XFA1E81AE015613	2002	Audi	A4	Maroon	28963.52
WAUJT68E14A808112	2006	Chevrolet	Avalanche 2500	Violet	32672.11
JTEBU5JR7E5816278	2007	Mazda	CX-7	Teal	33223.23
3D7JB1EK7AG390368	2010	Dodge	Avenger	Indigo	30595.03
JTDKDTB36F1718046	2005	Hummer	H2	Violet	29253.96
JN1AZ4EH2AM846983	2002	Mazda	Millenia	Pink	28491.16
1G6DW67V090447738	1988	Mercedes-Benz	E-Class	Teal	26207.70
5J8TB4H53FL012330	2005	Ford	Crown Victoria	Khaki	38240.37
1G4PR5SK6D4616246	2000	Daewoo	Lanos	Yellow	34390.12
WA1MYBFEXAD064995	2009	Mercedes-Benz	G-Class	Maroon	27530.92
5YMKW8C50F0239318	2007	Maserati	Quattroporte	Pink	27621.01
WBSPM9C54BE507769	1955	Ford	Thunderbird	Blue	26054.91
JN8AZ2NDXF9834609	2001	GMC	Savana 2500	Teal	38999.11
3VW1K7AJ4FM987882	1982	Pontiac	Grand Prix	Maroon	26727.25
WAUDFAFC9FN973734	2000	GMC	Savana 3500	Orange	25016.04
1D4PT7GX9BW328070	1999	Plymouth	Neon	Fuscia	25919.38
3VW517AT3EM487314	1987	Mercury	Topaz	Aquamarine	39227.97
WAUDF78E68A430059	2004	Volvo	V40	Blue	25626.00
3MZBM1K73EM400021	1997	Dodge	Intrepid	Fuscia	38127.11
WAUVFAFH6DN282612	1995	Jeep	Grand Cherokee	Red	30941.50
WBAVT73558F775915	2007	Kia	Optima	Green	32060.51
3D7TT2CT8AG812042	1993	Chevrolet	Lumina APV	Khaki	36754.40
1G4GL5E30CF465865	2011	Hyundai	Elantra	Teal	32796.37
WBANV9C59AC257674	1992	Ford	Thunderbird	Maroon	39370.83
3GYFNJE32DS927840	2009	Chevrolet	Express 3500	Green	29056.13
WBADX7C52DP210851	2001	Dodge	Ram Van 2500	Khaki	32313.08
WP0AA2A90AS874140	1994	Mercury	Cougar	Puce	35447.00
5J8TB3H58FL584374	1992	Chevrolet	Lumina APV	Fuscia	32822.69
5LMJJ2H58EE130656	2010	Bentley	Continental	Indigo	28775.23
WAUBFAFL8BA287645	2008	Aptera	Typ-1	Yellow	26027.59
JN1CV6FE9EM397845	2010	Mercury	Milan	Green	36182.39
WBAWL73518P019397	1987	Mazda	RX-7	Blue	39478.41
